날짜,시간대별시간,업종명,목적지광역시도명,목적지시군구명,주문건수,시간대별시간(강서구),주문건수(강서구)
2020-05-09,11,카페/디저트,서울특별시,관악구,12,,
2020-05-09,11,카페/디저트,서울특별시,구로구,10,,
2020-05-09,11,카페/디저트,서울특별시,금천구,2,,
2020-05-09,11,카페/디저트,서울특별시,노원구,2,,
2020-05-09,11,카페/디저트,서울특별시,도봉구,2,,
2020-05-09,11,카페/디저트,서울특별시,동작구,1,,
2020-05-09,11,카페/디저트,서울특별시,서대문구,2,,
2020-05-09,11,카페/디저트,서울특별시,양천구,2,,
2020-05-09,11,카페/디저트,서울특별시,영등포구,2,,
2020-05-09,11,카페/디저트,서울특별시,중랑구,1,,
2020-05-09,12,카페/디저트,서울특별시,관악구,17,,
2020-05-09,12,카페/디저트,서울특별시,구로구,9,,
2020-05-09,12,카페/디저트,서울특별시,금천구,2,,
2020-05-09,12,카페/디저트,서울특별시,노원구,2,,
2020-05-09,12,카페/디저트,서울특별시,동작구,9,,
2020-05-09,12,카페/디저트,서울특별시,서대문구,2,,
2020-05-09,12,카페/디저트,서울특별시,양천구,3,,
2020-05-09,12,카페/디저트,서울특별시,영등포구,2,,
2020-05-09,13,카페/디저트,서울특별시,강서구,1,,
2020-05-09,13,카페/디저트,서울특별시,관악구,19,,
2020-05-09,13,카페/디저트,서울특별시,구로구,12,,
2020-05-09,13,카페/디저트,서울특별시,금천구,11,,
2020-05-09,13,카페/디저트,서울특별시,노원구,5,,
2020-05-09,13,카페/디저트,서울특별시,도봉구,1,,
2020-05-09,13,카페/디저트,서울특별시,동작구,6,,
2020-05-09,13,카페/디저트,서울특별시,양천구,5,,
2020-05-09,13,카페/디저트,서울특별시,중랑구,1,,
2020-05-09,14,카페/디저트,서울특별시,관악구,18,,
2020-05-09,14,카페/디저트,서울특별시,구로구,10,,
2020-05-09,14,카페/디저트,서울특별시,금천구,9,,
2020-05-09,14,카페/디저트,서울특별시,노원구,6,,
2020-05-09,14,카페/디저트,서울특별시,도봉구,1,,
2020-05-09,14,카페/디저트,서울특별시,동작구,11,,
2020-05-09,14,카페/디저트,서울특별시,마포구,1,,
2020-05-09,14,카페/디저트,서울특별시,서대문구,3,,
2020-05-09,14,카페/디저트,서울특별시,양천구,10,,
2020-05-09,14,카페/디저트,서울특별시,영등포구,2,,
2020-05-09,15,카페/디저트,서울특별시,관악구,11,,
2020-05-09,15,카페/디저트,서울특별시,구로구,12,,
2020-05-09,15,카페/디저트,서울특별시,금천구,7,,
2020-05-09,15,카페/디저트,서울특별시,노원구,3,,
2020-05-09,15,카페/디저트,서울특별시,도봉구,3,,
2020-05-09,15,카페/디저트,서울특별시,동작구,10,,
2020-05-09,15,카페/디저트,서울특별시,양천구,4,,
2020-05-09,16,카페/디저트,서울특별시,관악구,16,,
2020-05-09,16,카페/디저트,서울특별시,구로구,13,,
2020-05-09,16,카페/디저트,서울특별시,금천구,4,,
2020-05-09,16,카페/디저트,서울특별시,노원구,5,,
2020-05-09,16,카페/디저트,서울특별시,도봉구,2,,
2020-05-09,16,카페/디저트,서울특별시,동작구,14,,
2020-05-09,16,카페/디저트,서울특별시,양천구,6,,
2020-05-09,16,카페/디저트,서울특별시,영등포구,1,,
2020-05-09,17,카페/디저트,서울특별시,관악구,31,,
2020-05-09,17,카페/디저트,서울특별시,구로구,10,,
2020-05-09,17,카페/디저트,서울특별시,금천구,3,,
2020-05-09,17,카페/디저트,서울특별시,노원구,6,,
2020-05-09,17,카페/디저트,서울특별시,도봉구,2,,
2020-05-09,17,카페/디저트,서울특별시,동작구,9,,
2020-05-09,17,카페/디저트,서울특별시,양천구,9,,
2020-05-09,17,카페/디저트,서울특별시,영등포구,1,,
2020-05-09,17,카페/디저트,서울특별시,중랑구,1,,
2020-05-09,18,카페/디저트,서울특별시,관악구,26,,
2020-05-09,18,카페/디저트,서울특별시,구로구,18,,
2020-05-09,18,카페/디저트,서울특별시,금천구,1,,
2020-05-09,18,카페/디저트,서울특별시,노원구,9,,
2020-05-09,18,카페/디저트,서울특별시,동작구,13,,
2020-05-09,18,카페/디저트,서울특별시,서대문구,1,,
2020-05-09,18,카페/디저트,서울특별시,성북구,1,,
2020-05-09,18,카페/디저트,서울특별시,양천구,7,,
2020-05-09,19,카페/디저트,서울특별시,관악구,29,,
2020-05-09,19,카페/디저트,서울특별시,구로구,21,,
2020-05-09,19,카페/디저트,서울특별시,금천구,2,,
2020-05-09,19,카페/디저트,서울특별시,노원구,8,,
2020-05-09,19,카페/디저트,서울특별시,동작구,17,,
2020-05-09,19,카페/디저트,서울특별시,서대문구,1,,
2020-05-09,19,카페/디저트,서울특별시,양천구,15,,
2020-05-09,19,카페/디저트,서울특별시,영등포구,2,,
2020-05-09,20,카페/디저트,서울특별시,강서구,2,,
2020-05-09,20,카페/디저트,서울특별시,관악구,19,,
2020-05-09,20,카페/디저트,서울특별시,구로구,6,,
2020-05-09,20,카페/디저트,서울특별시,금천구,3,,
2020-05-09,20,카페/디저트,서울특별시,노원구,9,,
2020-05-09,20,카페/디저트,서울특별시,도봉구,3,,
2020-05-09,20,카페/디저트,서울특별시,동작구,15,,
2020-05-09,20,카페/디저트,서울특별시,양천구,11,,
2020-05-09,20,카페/디저트,서울특별시,영등포구,3,,
2020-05-09,20,카페/디저트,서울특별시,중랑구,1,,
2020-05-09,21,카페/디저트,서울특별시,관악구,37,,
2020-05-09,21,카페/디저트,서울특별시,구로구,11,,
2020-05-09,21,카페/디저트,서울특별시,금천구,4,,
2020-05-09,21,카페/디저트,서울특별시,노원구,3,,
2020-05-09,21,카페/디저트,서울특별시,동작구,30,,
2020-05-09,21,카페/디저트,서울특별시,양천구,10,,
2020-05-09,21,카페/디저트,서울특별시,영등포구,2,,
2020-05-09,22,카페/디저트,서울특별시,강서구,2,,
2020-05-09,22,카페/디저트,서울특별시,관악구,9,,
2020-05-09,22,카페/디저트,서울특별시,구로구,2,,
2020-05-09,22,카페/디저트,서울특별시,노원구,1,,
2020-05-09,22,카페/디저트,서울특별시,동작구,6,,
2020-05-09,22,카페/디저트,서울특별시,서대문구,1,,
2020-05-09,22,카페/디저트,서울특별시,양천구,5,,
2020-05-09,22,카페/디저트,서울특별시,영등포구,1,,
2020-05-09,23,카페/디저트,서울특별시,강서구,1,,
2020-05-09,23,카페/디저트,서울특별시,관악구,1,,
2020-05-09,23,카페/디저트,서울특별시,구로구,1,,
2020-05-09,23,카페/디저트,서울특별시,동작구,1,,
2020-05-09,23,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,0,카페/디저트,서울특별시,구로구,2,,
2020-05-10,9,카페/디저트,서울특별시,서대문구,2,,
2020-05-10,10,카페/디저트,서울특별시,관악구,5,,
2020-05-10,10,카페/디저트,서울특별시,구로구,7,,
2020-05-10,10,카페/디저트,서울특별시,금천구,1,,
2020-05-10,10,카페/디저트,서울특별시,노원구,1,,
2020-05-10,10,카페/디저트,서울특별시,도봉구,2,,
2020-05-10,10,카페/디저트,서울특별시,동작구,2,,
2020-05-10,10,카페/디저트,서울특별시,서대문구,2,,
2020-05-10,10,카페/디저트,서울특별시,영등포구,1,,
2020-05-10,10,카페/디저트,서울특별시,은평구,1,,
2020-05-10,11,카페/디저트,서울특별시,관악구,12,,
2020-05-10,11,카페/디저트,서울특별시,구로구,16,,
2020-05-10,11,카페/디저트,서울특별시,금천구,2,,
2020-05-10,11,카페/디저트,서울특별시,노원구,4,,
2020-05-10,11,카페/디저트,서울특별시,도봉구,1,,
2020-05-10,11,카페/디저트,서울특별시,동작구,2,,
2020-05-10,11,카페/디저트,서울특별시,서대문구,4,,
2020-05-10,11,카페/디저트,서울특별시,양천구,1,,
2020-05-10,11,카페/디저트,서울특별시,영등포구,1,,
2020-05-10,12,카페/디저트,서울특별시,관악구,23,,
2020-05-10,12,카페/디저트,서울특별시,구로구,12,,
2020-05-10,12,카페/디저트,서울특별시,금천구,8,,
2020-05-10,12,카페/디저트,서울특별시,노원구,5,,
2020-05-10,12,카페/디저트,서울특별시,도봉구,2,,
2020-05-10,12,카페/디저트,서울특별시,동작구,7,,
2020-05-10,12,카페/디저트,서울특별시,양천구,4,,
2020-05-10,12,카페/디저트,서울특별시,영등포구,3,,
2020-05-10,12,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,13,카페/디저트,서울특별시,관악구,17,,
2020-05-10,13,카페/디저트,서울특별시,구로구,20,,
2020-05-10,13,카페/디저트,서울특별시,금천구,3,,
2020-05-10,13,카페/디저트,서울특별시,노원구,5,,
2020-05-10,13,카페/디저트,서울특별시,도봉구,1,,
2020-05-10,13,카페/디저트,서울특별시,동작구,12,,
2020-05-10,13,카페/디저트,서울특별시,마포구,1,,
2020-05-10,13,카페/디저트,서울특별시,서대문구,3,,
2020-05-10,13,카페/디저트,서울특별시,양천구,2,,
2020-05-10,13,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,14,카페/디저트,서울특별시,관악구,22,,
2020-05-10,14,카페/디저트,서울특별시,구로구,18,,
2020-05-10,14,카페/디저트,서울특별시,금천구,4,,
2020-05-10,14,카페/디저트,서울특별시,노원구,9,,
2020-05-10,14,카페/디저트,서울특별시,도봉구,1,,
2020-05-10,14,카페/디저트,서울특별시,동작구,18,,
2020-05-10,14,카페/디저트,서울특별시,서대문구,6,,
2020-05-10,14,카페/디저트,서울특별시,양천구,8,,
2020-05-10,14,카페/디저트,서울특별시,영등포구,1,,
2020-05-10,14,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,15,카페/디저트,서울특별시,관악구,13,,
2020-05-10,15,카페/디저트,서울특별시,구로구,12,,
2020-05-10,15,카페/디저트,서울특별시,금천구,7,,
2020-05-10,15,카페/디저트,서울특별시,노원구,6,,
2020-05-10,15,카페/디저트,서울특별시,동작구,8,,
2020-05-10,15,카페/디저트,서울특별시,마포구,1,,
2020-05-10,15,카페/디저트,서울특별시,서대문구,1,,
2020-05-10,15,카페/디저트,서울특별시,양천구,4,,
2020-05-10,15,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,15,카페/디저트,서울특별시,중랑구,4,,
2020-05-10,16,카페/디저트,서울특별시,관악구,23,,
2020-05-10,16,카페/디저트,서울특별시,구로구,8,,
2020-05-10,16,카페/디저트,서울특별시,금천구,5,,
2020-05-10,16,카페/디저트,서울특별시,노원구,7,,
2020-05-10,16,카페/디저트,서울특별시,도봉구,2,,
2020-05-10,16,카페/디저트,서울특별시,동작구,7,,
2020-05-10,16,카페/디저트,서울특별시,양천구,5,,
2020-05-10,16,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,17,카페/디저트,서울특별시,관악구,27,,
2020-05-10,17,카페/디저트,서울특별시,구로구,17,,
2020-05-10,17,카페/디저트,서울특별시,금천구,1,,
2020-05-10,17,카페/디저트,서울특별시,노원구,6,,
2020-05-10,17,카페/디저트,서울특별시,동작구,9,,
2020-05-10,17,카페/디저트,서울특별시,양천구,5,,
2020-05-10,17,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,17,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,18,카페/디저트,서울특별시,관악구,21,,
2020-05-10,18,카페/디저트,서울특별시,구로구,14,,
2020-05-10,18,카페/디저트,서울특별시,금천구,1,,
2020-05-10,18,카페/디저트,서울특별시,노원구,3,,
2020-05-10,18,카페/디저트,서울특별시,도봉구,1,,
2020-05-10,18,카페/디저트,서울특별시,동작구,9,,
2020-05-10,18,카페/디저트,서울특별시,양천구,4,,
2020-05-10,18,카페/디저트,서울특별시,영등포구,1,,
2020-05-10,18,카페/디저트,서울특별시,중랑구,5,,
2020-05-10,19,카페/디저트,서울특별시,관악구,21,,
2020-05-10,19,카페/디저트,서울특별시,구로구,20,,
2020-05-10,19,카페/디저트,서울특별시,금천구,2,,
2020-05-10,19,카페/디저트,서울특별시,노원구,8,,
2020-05-10,19,카페/디저트,서울특별시,도봉구,1,,
2020-05-10,19,카페/디저트,서울특별시,동작구,19,,
2020-05-10,19,카페/디저트,서울특별시,서대문구,1,,
2020-05-10,19,카페/디저트,서울특별시,양천구,3,,
2020-05-10,19,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,20,카페/디저트,서울특별시,관악구,27,,
2020-05-10,20,카페/디저트,서울특별시,구로구,13,,
2020-05-10,20,카페/디저트,서울특별시,금천구,1,,
2020-05-10,20,카페/디저트,서울특별시,노원구,5,,
2020-05-10,20,카페/디저트,서울특별시,동작구,13,,
2020-05-10,20,카페/디저트,서울특별시,양천구,10,,
2020-05-10,21,카페/디저트,서울특별시,관악구,22,,
2020-05-10,21,카페/디저트,서울특별시,구로구,9,,
2020-05-10,21,카페/디저트,서울특별시,노원구,6,,
2020-05-10,21,카페/디저트,서울특별시,동작구,14,,
2020-05-10,21,카페/디저트,서울특별시,서대문구,1,,
2020-05-10,21,카페/디저트,서울특별시,양천구,6,,
2020-05-10,21,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,21,카페/디저트,서울특별시,중랑구,1,,
2020-05-10,22,카페/디저트,서울특별시,관악구,8,,
2020-05-10,22,카페/디저트,서울특별시,구로구,3,,
2020-05-10,22,카페/디저트,서울특별시,노원구,2,,
2020-05-10,22,카페/디저트,서울특별시,동작구,3,,
2020-05-10,22,카페/디저트,서울특별시,서대문구,1,,
2020-05-10,22,카페/디저트,서울특별시,영등포구,2,,
2020-05-10,23,카페/디저트,서울특별시,구로구,3,,
2020-05-11,0,카페/디저트,서울특별시,구로구,1,,
2020-05-11,10,카페/디저트,서울특별시,관악구,4,,
2020-05-11,10,카페/디저트,서울특별시,구로구,10,,
2020-05-11,10,카페/디저트,서울특별시,금천구,2,,
