날짜,음식섭취등수값,음식명,음식섭취수,음식섭취비율,사용자연령값,시간
2020-01-27,7, 식빵,2,1.587302, [0-19],16
2020-01-09,7, 건빵,1,3.571429, [20-29],10
2020-01-05,7, 식빵,1,4.545455, [0-19],8
2020-01-06,7, 붕어빵,2,2.816901, [0-19],15
2020-01-06,7, 찐빵(팥),2,2.040816, [20-29],13
2020-01-12,7, 식빵,1,2, [20-29],10
2020-01-13,7, 식빵,3,1.734104, [0-19],13
2020-01-15,7, 쏘세지빵,1,2.272727, [20-29],9
2020-01-15,7, 모닝빵,2,2.702703, [0-19],9
2020-01-16,7, 식빵,1,2.222222, [0-19],20
2020-01-17,7, 붕어빵,1,1.538462, [0-19],10
2020-01-18,7, 우유식빵,2,1.834862, [0-19],17
2020-01-19,7, 찐빵(채소),1,2.702703, [20-29],19
2020-01-19,7, 고구마빵,1,7.692308, [20-29],20
2020-01-25,7, 마늘빵,1,8.333333, [20-29],21
2020-01-26,7, 붕어빵,1,4.347826, [0-19],20
2020-01-27,7, 식빵(버터),2,3.030303, [0-19],19
2020-01-28,7, 식빵,2,2.702703, [0-19],11
2020-01-29,7, 식빵,1,3.333333, [0-19],8
2020-01-29,7, 식빵,1,4, [20-29],9
2020-01-31,7, 슈크림빵,1,2.12766, [0-19],14
2020-01-31,7, 식빵,1,2.272727, [0-19],15
2020-01-04,8, 모닝빵감자샌드위치,3,1.714286, [0-19],11
2020-01-04,8, 크림빵,1,3.225806, [20-29],15
2020-01-04,8, 마늘빵(바게트),1,2.083333, [20-29],17
2020-01-05,8, 쫄깃한피자빵,1,2.702703, [0-19],8
2020-01-07,8, 초코소라빵,1,2.564103, [20-29],17
2020-01-07,8, 식빵(쨈),1,2.325581, [0-19],23
2020-01-10,8, 모닝빵,1,2.040816, [20-29],8
2020-01-11,8, 호밀빵,2,2.272727, [0-19],22
2020-01-12,8, 깨찰빵,1,12.5, [20-29],21
2020-01-13,8, 붕어빵,1,7.692308, [20-29],1
2020-01-14,8, 옥수수식빵,1,1.612903, [20-29],17
2020-01-14,8, 바게트빵,3,1.657459, [0-19],17
2020-01-16,8, 식빵,2,2.5, [0-19],8
2020-01-17,8, 식빵,4,1.6, [0-19],12
2020-01-18,8, 찐빵(팥),2,2.5, [0-19],20
2020-01-18,8, 호밀빵,1,2.5, [20-29],20
2020-01-19,8, 식빵,1,8.333333, [20-29],3
2020-01-20,8, 호떡빵,2,2, [0-19],21
2020-01-20,8, 초코소라빵,1,1.851852, [20-29],17
2020-01-21,8, 붕어빵,1,2.325581, [20-29],16
2020-01-22,8, 쏘세지빵,1,2.564103, [0-19],21
2020-01-25,8, 모닝빵,1,11.111111, [0-19],7
2020-01-28,8, 식빵,1,7.142857, [20-29],6
2020-01-29,8, 찐빵(채소),1,2.12766, [0-19],9
2020-01-31,8, 식빵,1,2.5, [20-29],10
2020-01-31,8, 계란빵,1,5.555556, [20-29],15
2020-01-31,8, 호떡빵,1,4.166667, [0-19],7
2020-01-31,8, 모닝빵,1,1.754386, [0-19],8
2020-01-02,8, 식빵,1,7.142857, [20-29],23
2020-01-03,8, 붕어빵,1,2.702703, [20-29],16
2020-01-05,8, 식빵,2,2.631579, [0-19],10
2020-01-07,8, 식빵,1,1.666667, [20-29],20
2020-01-08,8, 팥빵,1,4, [20-29],8
2020-01-10,8, 삼립호빵(야채),2,1.428571, [0-19],17
2020-01-12,8, 삼립호빵(야채),2,2.12766, [0-19],11
2020-01-14,8, 아몬드크림치즈빵,2,1.904762, [0-19],10
2020-01-15,8, 식빵,1,8.333333, [20-29],23
2020-01-16,8, 곰보빵,2,2.816901, [0-19],21
2020-01-16,8, 붕어빵,1,7.142857, [0-19],23
2020-01-17,8, 붕어빵,1,2.439024, [0-19],21
2020-01-19,8, 삼립호빵(야채),1,12.5, [20-29],21
2020-01-20,8, 곰보빵,1,2.083333, [20-29],16
2020-01-27,8, 곰보빵,1,12.5, [20-29],10
2020-01-28,8, 식빵,1,11.111111, [20-29],6
2020-01-01,9, 피자빵,1,6.25, [0-19],8
2020-01-01,9, 삼립호빵(단팥),1,2.564103, [20-29],13
2020-01-03,9, 천연효모 호두 호밀식빵,1,4, [20-29],7
2020-01-04,9, 삼립호빵(단팥),1,4.166667, [20-29],9
2020-01-09,9, 식빵,1,5.882353, [20-29],22
2020-01-06,9, 식빵,2,2.352941, [20-29],18
2020-01-08,9, 식빵(버터),2,1.574803, [0-19],15
2020-01-11,9, 계란빵,1,1.724138, [20-29],17
2020-01-11,9, 바게트빵,1,4, [20-29],20
2020-01-12,9, 식빵,1,2.5, [0-19],8
2020-01-13,9, 붕어빵,1,1.333333, [20-29],13
2020-01-15,9, 식빵,1,2.040816, [20-29],20
2020-01-16,9, 곰보빵,2,2.272727, [0-19],21
2020-01-17,9, 슈크림빵,1,1.724138, [20-29],19
2020-01-19,9, 마늘빵,1,4, [0-19],8
2020-01-22,9, 식빵(쨈),1,2.564103, [0-19],21
2020-01-29,9, 식빵,1,2.083333, [20-29],9
2020-01-30,9, 곰보빵,1,4.166667, [20-29],6
2020-01-31,9, 붕어빵,2,2.597403, [0-19],14
2020-01-01,9, 찐빵(호빵),1,2.173913, [20-29],18
2020-01-04,9, 식빵(쨈),2,2.469136, [0-19],16
2020-01-09,9, 찐빵(호빵),1,4.347826, [20-29],21
2020-01-09,9, 식빵,2,2.702703, [0-19],15
2020-01-09,9, 붕어빵,2,1.960784, [0-19],14
2020-01-06,9, 크림빵,1,4.545455, [0-19],23
2020-01-06,9, 식빵,1,2.857143, [20-29],10
2020-01-07,9, 우유식빵,2,1.923077, [0-19],13
2020-01-07,9, 찐빵(호빵),1,2.857143, [20-29],15
2020-01-08,9, 식빵,1,5.555556, [20-29],21
2020-01-10,9, 식빵(쨈),1,1.219512, [0-19],14
2020-01-11,9, 천연효모 호두 호밀식빵,1,7.692308, [0-19],1
2020-01-11,9, 바게트빵,1,2.857143, [0-19],8
2020-01-12,9, 삼립호빵(야채),1,11.111111, [20-29],21
2020-01-13,9, 찐빵(팥),3,1.775148, [0-19],18
2020-01-13,9, 붕어빵,1,7.692308, [20-29],1
2020-01-15,9, 붕어빵,2,2.040816, [20-29],18
2020-01-15,9, 빵또아,2,3.174603, [0-19],21
2020-01-16,9, 바나나빵,1,1.694915, [0-19],22
2020-01-19,9, 모카빵,1,2.325581, [20-29],17
2020-01-23,9, 마늘빵,1,1.298701, [0-19],11
2020-01-23,9, 붕어빵,2,2.352941, [0-19],18
2020-01-22,9, 찐빵(피자),1,7.142857, [0-19],7
2020-01-22,9, 식빵,2,2.898551, [0-19],14
2020-01-24,9, 옥수수식빵,1,4.545455, [20-29],9
2020-01-24,9, 호밀빵,1,4, [20-29],14
2020-01-28,9, 호밀빵,2,2.150538, [0-19],17
2020-01-29,9, 식빵,1,2.777778, [0-19],22
2020-01-03,10, 마늘빵,1,4, [20-29],7
2020-01-06,10, 모닝빵,2,1.265823, [0-19],14
2020-01-06,10, 식빵(버터),1,2.173913, [0-19],22
2020-01-14,10, 초코소라빵,1,3.571429, [20-29],0
2020-01-14,10, 계란빵,1,3.125, [0-19],23
2020-01-15,10, 모닝빵,2,1.941748, [0-19],9
2020-01-15,10, 식빵,2,1.190476, [0-19],10
2020-01-18,10, 모닝빵,1,2.380952, [20-29],13
2020-01-19,10, 식빵,1,2.222222, [20-29],19
2020-01-23,10, 찐빵(호빵),2,1.612903, [0-19],11
2020-01-30,10, 식빵(버터),2,3.030303, [0-19],21
2020-01-01,10, 모카빵,1,2.173913, [20-29],18
2020-01-05,10, 붕어빵,3,1.886792, [0-19],18
2020-01-06,10, 식빵(쨈),2,2.150538, [20-29],11
2020-01-07,10, 붕어빵,2,2.777778, [0-19],16
2020-01-13,10, 빵빠레 초코,1,1.724138, [20-29],17
2020-01-15,10, 식빵,1,2.272727, [20-29],9
2020-01-18,10, 계란빵,1,1.190476, [0-19],16
2020-01-18,10, 식빵,1,5, [0-19],22
2020-01-19,10, 찐빵(피자),1,2.380952, [20-29],15
2020-01-20,10, 붕어빵,1,1.449275, [0-19],10
2020-01-20,10, 호밀빵,1,1.754386, [20-29],11
2020-01-23,10, 크림빵,1,4.166667, [20-29],15
2020-01-22,10, 우리찹쌀 모카 찰떡빵,1,2.631579, [20-29],20
2020-01-31,10, 붕어빵,2,2.597403, [0-19],17
2020-01-03,11, 팥빵,1,3.571429, [20-29],16
